Date,Open,High,Low,Close,Adj Close,Volume
2011-02-09,306.441895,307.723541,304.191528,306.258087,306.258087,3708900
2011-02-10,304.966492,306.754852,303.804047,306.228271,306.228271,4699100
2011-02-11,304.911835,310.480621,304.519409,310.232239,310.232239,5213400
2011-02-14,309.655975,312.785645,308.016663,312.045441,312.045441,4283500
2011-02-15,311.633118,313.009186,309.536774,310.058380,310.058380,4211000
2011-02-16,310.793579,311.225769,309.039978,310.093140,310.093140,3389800
2011-02-17,308.617737,311.598358,308.135864,310.609772,310.609772,2976800
2011-02-18,310.977386,313.550659,310.073273,313.004211,313.004211,6477500
2011-02-22,308.011688,310.445862,301.921295,303.133423,303.133423,7327100
2011-02-23,303.193024,305.363892,300.048462,303.684814,303.684814,5816600
2011-02-24,303.719604,304.564117,298.732025,302.442902,302.442902,5458600
2011-02-25,303.953064,305.373840,302.780701,303.048950,303.048950,3889900
2011-02-28,303.029083,306.253113,302.040527,304.718109,304.718109,4592600
2011-03-01,306.893951,307.609283,297.713654,298.438934,298.438934,6689500
2011-03-02,297.962036,301.042023,295.671936,298.453857,298.453857,4079700
2011-03-03,301.230774,303.769287,300.545258,302.810516,302.810516,3915700
2011-03-04,302.199493,302.522369,298.160767,298.369385,298.369385,6061100
2011-03-07,298.334625,299.894470,291.603394,293.918335,293.918335,6970400
2011-03-08,294.549255,297.057922,293.193054,294.241241,294.241241,4599400
2011-03-09,293.590485,295.334137,290.982452,293.972992,293.972992,4330000
2011-03-10,290.828430,291.414642,287.852783,288.275055,288.275055,6296700
2011-03-11,287.241760,288.126007,284.812561,286.491638,286.491638,6103300
2011-03-14,284.549286,287.276550,282.174713,283.153351,283.153351,5668700
2011-03-15,276.948730,283.655090,275.955170,282.939758,282.939758,8063300
2011-03-16,282.169769,283.054016,273.858826,276.750000,276.750000,7646200
2011-03-17,280.416168,282.661560,278.458893,278.866241,278.866241,5836200
2011-03-18,280.495636,282.159821,278.061493,278.717224,278.717224,6640000
2011-03-21,283.267609,288.026672,282.671509,286.387329,286.387329,6081000
2011-03-22,286.769836,287.743500,284.405212,286.794678,286.794678,3798200
2011-03-23,285.736572,289.343109,284.151855,289.199036,289.199036,3655900
2011-03-24,290.823486,292.293915,287.529907,291.548767,291.548767,4224600
2011-03-25,291.543793,291.558685,287.748474,287.996857,287.996857,5754000
2011-03-28,289.154327,290.604889,285.498108,285.821014,285.821014,4465500
2011-03-29,286.138947,289.064911,284.653595,288.985443,288.985443,3230400
2011-03-30,290.301880,290.858246,288.414154,289.040070,289.040070,2863000
2011-03-31,289.616333,292.179657,288.990387,291.484161,291.484161,4085100
2011-04-01,292.477722,295.671936,292.477722,293.987885,293.987885,5260300
2011-04-04,294.584015,295.448395,289.666016,291.941193,291.941193,4135600
2011-04-05,288.662537,288.866211,281.012299,282.706268,282.706268,12173500
2011-04-06,284.241272,285.721649,282.164795,285.234833,285.234833,5371200
2011-04-07,286.004822,288.443939,285.239777,288.126007,288.126007,5095900
2011-04-08,290.555206,290.555206,287.162292,287.211975,287.211975,3828300
2011-04-11,286.238281,287.182159,284.648621,286.819519,286.819519,3740500
2011-04-12,285.642181,286.591003,282.189636,283.461365,283.461365,4198200
2011-04-13,285.895538,286.933777,284.027679,286.278046,286.278046,4165600
2011-04-14,285.736572,287.852783,284.201538,287.385834,287.385834,10983500
2011-04-15,270.883179,271.111694,263.317383,263.635315,263.635315,28269900
2011-04-18,261.509125,262.125122,257.823120,261.717773,261.717773,10145100
2011-04-19,263.262726,263.724731,258.766968,259.079926,259.079926,5403000
2011-04-20,261.250824,261.707855,259.010376,261.166351,261.166351,6159800
2011-04-21,262.040680,262.433136,259.507141,260.853394,260.853394,4972200
2011-04-25,260.927917,261.797272,259.318390,260.828552,260.828552,3282700
2011-04-26,261.558807,266.983521,260.908051,264.688446,264.688446,7045400
2011-04-27,267.261719,267.316376,265.448517,267.142487,267.142487,4626600
2011-04-28,267.291534,267.882690,265.314392,267.246826,267.246826,4025800
2011-04-29,268.255249,270.292023,267.515076,270.292023,270.292023,8511900
2011-05-02,271.086853,271.101746,266.824554,267.539917,267.539917,4295100
2011-05-03,266.829529,269.253754,263.103760,265.220001,265.220001,4190000
2011-05-04,265.855865,267.758484,264.787811,266.163849,266.163849,4261500
2011-05-05,265.205109,267.967133,264.032715,265.408783,265.408783,4021400
2011-05-06,267.336243,268.980530,265.860840,265.920441,265.920441,4138900
2011-05-09,265.771423,267.505127,263.834015,267.102753,267.102753,3922600
2011-05-10,268.255249,270.455933,267.033203,269.576660,269.576660,4112300
2011-05-11,268.324799,270.018799,265.120636,265.994965,265.994965,4707900
2011-05-12,265.890625,266.735138,263.739624,265.796265,265.796265,2915300
2011-05-13,265.577667,266.228455,262.815643,263.064026,263.064026,4244700
2011-05-16,261.454498,261.931396,256.531525,257.534973,257.534973,5954800
2011-05-17,256.049652,263.893616,255.850937,263.516083,263.516083,6650100
2011-05-18,263.059052,263.451508,261.151459,263.193176,263.193176,3931800
2011-05-19,264.643738,266.536438,263.148468,263.908539,263.908539,4969400
2011-05-20,264.181763,264.276154,259.874756,260.321869,260.321869,4665100
2011-05-23,256.630859,258.319885,255.041199,257.520081,257.520081,4629800
2011-05-24,258.503693,260.287079,257.400848,257.455505,257.455505,3824600
2011-05-25,256.993500,259.695923,256.953766,258.155945,258.155945,2620100
2011-05-26,257.177307,259.373016,255.836029,257.390930,257.390930,4264500
2011-05-27,257.564789,259.209106,256.481842,258.766968,258.766968,3514100
2011-05-31,260.803711,262.815643,260.058563,262.800720,262.800720,5409400
2011-06-01,262.313904,264.877228,260.957733,261.101776,261.101776,5950200
2011-06-02,262.080414,263.436584,259.551880,262.323822,262.323822,4437700
2011-06-03,259.313416,262.095337,259.065033,259.849915,259.849915,3519600
2011-06-06,260.078430,261.707855,257.947296,258.846466,258.846466,3909300
2011-06-07,259.755554,260.619904,257.818146,257.838013,257.838013,3839900
2011-06-08,256.596100,258.935883,256.223511,257.907562,257.907562,3328200
2011-06-09,258.319885,258.319885,256.153961,256.695435,256.695435,3400000
2011-06-10,255.379013,256.675568,252.999481,253.108765,253.108765,4911400
2011-06-13,253.352188,253.451538,249.462494,250.734222,250.734222,4886100
2011-06-14,252.433167,255.379013,251.856918,252.542450,252.542450,4713300
2011-06-15,250.883240,252.532516,248.687531,249.849960,249.849960,4173400
2011-06-16,249.780426,251.648270,246.730255,248.568298,248.568298,5549800
2011-06-17,251.454529,251.707886,240.833603,240.942902,240.942902,10558900
2011-06-20,240.932968,241.543991,238.066605,240.724319,240.724319,6096500
2011-06-21,242.020889,245.374084,240.798828,244.907120,244.907120,5566600
2011-06-22,244.137131,244.584213,241.792374,241.931473,241.931473,4845500
2011-06-23,239.507233,239.869873,235.334381,238.558411,238.558411,9665800
2011-06-24,238.786926,238.821701,234.981674,235.905655,235.905655,7660700
2011-06-27,235.468506,242.621979,235.269791,239.840073,239.840073,6934100
2011-06-28,240.446136,246.501740,240.446136,245.230011,245.230011,5465500
2011-06-29,246.665680,248.508698,244.599121,247.177353,247.177353,4716300
2011-06-30,249.373062,251.697952,249.129654,251.553879,251.553879,4888300
2011-07-01,251.732727,258.906067,251.553879,258.831543,258.831543,7320500
2011-07-05,260.952759,265.970123,260.952759,264.499695,264.499695,7748300
2011-07-06,265.026245,267.515076,264.797760,265.950256,265.950256,5426200
2011-07-07,268.752014,273.560760,266.208557,271.533936,271.533936,7922100
2011-07-08,264.753052,267.087860,261.931396,264.276154,264.276154,9602400
2011-07-11,262.383453,266.258240,261.052094,261.936371,261.936371,5715400
2011-07-12,262.373505,267.967133,261.300507,265.279602,265.279602,5719300
2011-07-13,266.764954,270.242340,266.506622,267.390869,267.390869,5616600
2011-07-14,267.818115,269.248810,261.663147,262.760986,262.760986,13385300
